yr,ir_use,jc_use,value
1998,fnd,ppd,0.0
2004,fnd,ppd,0.0
2000,fnd,ppd,0.0
1997,fnd,ppd,0.0
2007,fnd,ppd,0.0
2010,fnd,ppd,0.0
2003,fnd,ppd,0.0
2011,fnd,ppd,0.0
2001,fnd,ppd,0.0
2008,pub,ppd,0.003
2009,pub,ppd,0.002
2005,pub,ppd,0.004
2006,pub,ppd,0.003
2012,pub,ppd,0.004
2014,pub,ppd,0.003
2013,pub,ppd,0.004
1999,pub,ppd,0.002
2002,pub,ppd,0.008
2017,pub,ppd,0.005
2016,pub,ppd,0.004
2015,pub,ppd,0.003
1998,pub,ppd,0.001
2004,pub,ppd,0.004
2000,pub,ppd,0.004
1997,pub,ppd,0.0
2007,pub,ppd,0.003
2010,pub,ppd,0.002
2003,pub,ppd,0.006
2011,pub,ppd,0.003
2001,pub,ppd,0.006
2008,hou,ppd,0.0
2009,hou,ppd,0.0
2005,hou,ppd,0.0
2006,hou,ppd,0.0
2012,hou,ppd,0.0
2014,hou,ppd,0.0
2013,hou,ppd,0.0
1999,hou,ppd,0.0
2002,hou,ppd,0.0
2017,hou,ppd,0.0
2016,hou,ppd,0.0
2015,hou,ppd,0.0
1998,hou,ppd,0.0
2004,hou,ppd,0.0
2000,hou,ppd,0.0
1997,hou,ppd,0.0
2007,hou,ppd,0.0
2010,hou,ppd,0.0
2003,hou,ppd,0.0
2011,hou,ppd,0.0
2001,hou,ppd,0.0
2008,ins,ppd,0.181
2009,ins,ppd,0.136
2005,ins,ppd,0.194
2006,ins,ppd,0.197
2012,ins,ppd,0.251
2014,ins,ppd,0.304
2013,ins,ppd,0.223
1999,ins,ppd,0.17500000000000002
2002,ins,ppd,0.187
2017,ins,ppd,0.289
2016,ins,ppd,0.33
2015,ins,ppd,0.319
1998,ins,ppd,0.202
2004,ins,ppd,0.169
2000,ins,ppd,0.188
1997,ins,ppd,0.183
2007,ins,ppd,0.242
2010,ins,ppd,0.137
2003,ins,ppd,0.19
2011,ins,ppd,0.11900000000000001
2001,ins,ppd,0.194
2008,tex,ppd,2.938
2009,tex,ppd,2.704
2005,tex,ppd,1.723
2006,tex,ppd,1.836
2012,tex,ppd,3.869
2014,tex,ppd,3.7800000000000002
2013,tex,ppd,3.956
1999,tex,ppd,1.5070000000000001
2002,tex,ppd,1.471
2017,tex,ppd,3.763
2016,tex,ppd,3.4250000000000003
2015,tex,ppd,3.4
1998,tex,ppd,1.674
2004,tex,ppd,1.566
2000,tex,ppd,1.537
1997,tex,ppd,1.495
2007,tex,ppd,2.52
2010,tex,ppd,3.056
2003,tex,ppd,1.383
2011,tex,ppd,3.017
2001,tex,ppd,1.464
2008,leg,ppd,0.249
2009,leg,ppd,0.259
2005,leg,ppd,0.249
2006,leg,ppd,0.28700000000000003
2012,leg,ppd,0.376
2014,leg,ppd,0.343
2013,leg,ppd,0.358
1999,leg,ppd,0.252
2002,leg,ppd,0.241
2017,leg,ppd,0.87
2016,leg,ppd,0.341
2015,leg,ppd,0.327
1998,leg,ppd,0.268
2004,leg,ppd,0.234
2000,leg,ppd,0.20500000000000002
1997,leg,ppd,0.23500000000000001
2007,leg,ppd,0.311
2010,leg,ppd,0.355
2003,leg,ppd,0.275
2011,leg,ppd,0.341
2001,leg,ppd,0.212
2008,fen,ppd,0.0
2009,fen,ppd,0.0
2005,fen,ppd,0.0
2006,fen,ppd,0.0
2012,fen,ppd,0.0
2014,fen,ppd,0.0
2013,fen,ppd,0.0
1999,fen,ppd,0.0
2002,fen,ppd,0.0
2017,fen,ppd,0.0
2016,fen,ppd,0.0
2015,fen,ppd,0.0
1998,fen,ppd,0.0
2004,fen,ppd,0.0
2000,fen,ppd,0.0
1997,fen,ppd,0.0
2007,fen,ppd,0.0
2010,fen,ppd,0.0
2003,fen,ppd,0.0
2011,fen,ppd,0.0
2001,fen,ppd,0.0
2008,uti,ppd,8.795
2009,uti,ppd,5.2780000000000005
2005,uti,ppd,6.199
2006,uti,ppd,5.081
2012,uti,ppd,6.216
2014,uti,ppd,6.466
2013,uti,ppd,5.885
1999,uti,ppd,4.494
2002,uti,ppd,5.5840000000000005
2017,uti,ppd,4.263
2016,uti,ppd,4.6770000000000005
2015,uti,ppd,5.433
1998,uti,ppd,3.862
2004,uti,ppd,4.756
2000,uti,ppd,6.167
1997,uti,ppd,3.391
2007,uti,ppd,6.488
2010,uti,ppd,5.972
2003,uti,ppd,5.45
2011,uti,ppd,5.968
2001,uti,ppd,8.773
2008,nmp,ppd,0.47900000000000004
2009,nmp,ppd,0.40800000000000003
2005,nmp,ppd,0.305
2006,nmp,ppd,0.331
2012,nmp,ppd,0.63
2014,nmp,ppd,0.558
2013,nmp,ppd,0.6
1999,nmp,ppd,0.296
2002,nmp,ppd,0.248
2017,nmp,ppd,0.533
2016,nmp,ppd,0.577
2015,nmp,ppd,0.625
1998,nmp,ppd,0.277
2004,nmp,ppd,0.276
2000,nmp,ppd,0.281
1997,nmp,ppd,0.257
2007,nmp,ppd,0.45
2010,nmp,ppd,0.493
2003,nmp,ppd,0.23500000000000001
2011,nmp,ppd,0.542
2001,nmp,ppd,0.25
2008,brd,ppd,0.362
2009,brd,ppd,0.317
2005,brd,ppd,0.41100000000000003
2006,brd,ppd,0.41300000000000003
2012,brd,ppd,0.366
2014,brd,ppd,0.342
2013,brd,ppd,0.35000000000000003
1999,brd,ppd,0.269
2002,brd,ppd,0.353
2017,brd,ppd,0.262
2016,brd,ppd,0.273
2015,brd,ppd,0.262
1998,brd,ppd,0.248
2004,brd,ppd,0.329
2000,brd,ppd,0.31
1997,brd,ppd,0.189
2007,brd,ppd,0.44
2010,brd,ppd,0.295
2003,brd,ppd,0.34
2011,brd,ppd,0.276
2001,brd,ppd,0.355
2008,bnk,ppd,0.457
2009,bnk,ppd,0.446
2005,bnk,ppd,0.507
2006,bnk,ppd,0.543
2012,bnk,ppd,0.438
2014,bnk,ppd,0.364
2013,bnk,ppd,0.395
1999,bnk,ppd,0.34
2002,bnk,ppd,0.429
2017,bnk,ppd,0.294
2016,bnk,ppd,0.328
2015,bnk,ppd,0.32
1998,bnk,ppd,0.35000000000000003
2004,bnk,ppd,0.404
2000,bnk,ppd,0.35100000000000003
1997,bnk,ppd,0.28300000000000003
2007,bnk,ppd,0.511
2010,bnk,ppd,0.399
2003,bnk,ppd,0.486
2011,bnk,ppd,0.289
2001,bnk,ppd,0.392
2008,ore,ppd,0.502
2009,ore,ppd,0.5700000000000001
2005,ore,ppd,0.709
2006,ore,ppd,0.512
2012,ore,ppd,0.865
2014,ore,ppd,0.912
2013,ore,ppd,0.887
1999,ore,ppd,0.335
2002,ore,ppd,0.8210000000000001
2017,ore,ppd,1.098
2016,ore,ppd,0.9540000000000001
2015,ore,ppd,0.848
1998,ore,ppd,0.427
2004,ore,ppd,0.651
2000,ore,ppd,0.462
1997,ore,ppd,0.404
2007,ore,ppd,0.5
2010,ore,ppd,0.625
2003,ore,ppd,0.647
2011,ore,ppd,0.664
2001,ore,ppd,0.623
2008,edu,ppd,0.0
2009,edu,ppd,0.0
2005,edu,ppd,0.0
2006,edu,ppd,0.0
2012,edu,ppd,0.0
2014,edu,ppd,0.0
2013,edu,ppd,0.0
1999,edu,ppd,0.0
2002,edu,ppd,0.0
2017,edu,ppd,0.0
2016,edu,ppd,0.0
2015,edu,ppd,0.0
1998,edu,ppd,0.0
2004,edu,ppd,0.0
2000,edu,ppd,0.0
1997,edu,ppd,0.0
2007,edu,ppd,0.0
2010,edu,ppd,0.0
2003,edu,ppd,0.0
2011,edu,ppd,0.0
2001,edu,ppd,0.0
2008,ote,ppd,0.0
2009,ote,ppd,0.0
2005,ote,ppd,0.0
2006,ote,ppd,0.0
2012,ote,ppd,0.0
2014,ote,ppd,0.0
2013,ote,ppd,0.0
1999,ote,ppd,0.0
2002,ote,ppd,0.0
2017,ote,ppd,0.0
2016,ote,ppd,0.0
2015,ote,ppd,0.0
1998,ote,ppd,0.0
2004,ote,ppd,0.0
2000,ote,ppd,0.0
1997,ote,ppd,0.0
2007,ote,ppd,0.0
2010,ote,ppd,0.0
2003,ote,ppd,0.0
2011,ote,ppd,0.0
2001,ote,ppd,0.0
2008,man,ppd,0.85
2009,man,ppd,1.363
2005,man,ppd,1.344
2006,man,ppd,2.339
2012,man,ppd,2.287
2014,man,ppd,2.15
2013,man,ppd,2.158
1999,man,ppd,1.747
2002,man,ppd,1.194
2017,man,ppd,3.0460000000000003
2016,man,ppd,2.668
2015,man,ppd,2.621
1998,man,ppd,1.717
2004,man,ppd,1.189
2000,man,ppd,1.8840000000000001
1997,man,ppd,1.526
2007,man,ppd,1.568
2010,man,ppd,2.289
2003,man,ppd,1.8940000000000001
2011,man,ppd,2.224
2001,man,ppd,1.748
2008,mch,ppd,1.06
2009,mch,ppd,0.878
2005,mch,ppd,0.8250000000000001
2006,mch,ppd,0.904
2012,mch,ppd,1.241
2014,mch,ppd,1.04
2013,mch,ppd,1.027
1999,mch,ppd,0.895
2002,mch,ppd,0.661
2017,mch,ppd,1.051
2016,mch,ppd,1.094
2015,mch,ppd,1.157
1998,mch,ppd,1.0
2004,mch,ppd,0.6970000000000001
2000,mch,ppd,0.933
1997,mch,ppd,0.9
2007,mch,ppd,1.137
2010,mch,ppd,0.907
2003,mch,ppd,0.7010000000000001
2011,mch,ppd,1.02
2001,mch,ppd,1.037
2008,dat,ppd,0.258
2009,dat,ppd,0.20800000000000002
2005,dat,ppd,0.297
2006,dat,ppd,0.34400000000000003
2012,dat,ppd,0.301
2014,dat,ppd,0.34500000000000003
2013,dat,ppd,0.323
1999,dat,ppd,0.313
2002,dat,ppd,0.316
2017,dat,ppd,0.634
2016,dat,ppd,0.355
2015,dat,ppd,0.317
1998,dat,ppd,0.301
2004,dat,ppd,0.259
2000,dat,ppd,0.321
1997,dat,ppd,0.27
2007,dat,ppd,0.301
2010,dat,ppd,0.242
2003,dat,ppd,0.325
2011,dat,ppd,0.20500000000000002
2001,dat,ppd,0.313
2008,amd,ppd,0.146
2009,amd,ppd,0.101
2005,amd,ppd,0.189
2006,amd,ppd,0.184
2012,amd,ppd,0.159
2014,amd,ppd,0.169
2013,amd,ppd,0.158
1999,amd,ppd,0.22
2002,amd,ppd,0.223
2017,amd,ppd,0.14300000000000002
2016,amd,ppd,0.165
2015,amd,ppd,0.15
1998,amd,ppd,0.24
2004,amd,ppd,0.167
2000,amd,ppd,0.246
1997,amd,ppd,0.224
2007,amd,ppd,0.164
2010,amd,ppd,0.108
2003,amd,ppd,0.20500000000000002
2011,amd,ppd,0.089
2001,amd,ppd,0.22
2008,oil,ppd,0.018000000000000002
2009,oil,ppd,0.006
2005,oil,ppd,0.013000000000000001
2006,oil,ppd,0.013000000000000001
2012,oil,ppd,0.002
2014,oil,ppd,0.0
2013,oil,ppd,0.001
1999,oil,ppd,0.002
2002,oil,ppd,0.004
2017,oil,ppd,0.0
2016,oil,ppd,0.0
2015,oil,ppd,0.0
1998,oil,ppd,0.004
2004,oil,ppd,0.009000000000000001
2000,oil,ppd,0.002
1997,oil,ppd,0.004
2007,oil,ppd,0.014
2010,oil,ppd,0.004
2003,oil,ppd,0.009000000000000001
2011,oil,ppd,0.003
2001,oil,ppd,0.002
2008,hos,ppd,0.0
2009,hos,ppd,0.0
2005,hos,ppd,0.0
2006,hos,ppd,0.0
2012,hos,ppd,0.0
2014,hos,ppd,0.0
2013,hos,ppd,0.0
1999,hos,ppd,0.0
2002,hos,ppd,0.0
2017,hos,ppd,0.0
2016,hos,ppd,0.0
2015,hos,ppd,0.0
1998,hos,ppd,0.0
2004,hos,ppd,0.0
2000,hos,ppd,0.0
1997,hos,ppd,0.0
2007,hos,ppd,0.0
2010,hos,ppd,0.0
2003,hos,ppd,0.0
2011,hos,ppd,0.0
2001,hos,ppd,0.0
2008,rnt,ppd,1.047
2009,rnt,ppd,0.91
2005,rnt,ppd,1.076
2006,rnt,ppd,1.096
2012,rnt,ppd,0.989
2014,rnt,ppd,1.04
2013,rnt,ppd,1.032
1999,rnt,ppd,0.848
2002,rnt,ppd,1.227
2017,rnt,ppd,0.806
2016,rnt,ppd,0.899
2015,rnt,ppd,0.885
1998,rnt,ppd,1.075
2004,rnt,ppd,0.9500000000000001
2000,rnt,ppd,1.0
1997,rnt,ppd,0.982
2007,rnt,ppd,1.076
2010,rnt,ppd,0.931
2003,rnt,ppd,1.199
2011,rnt,ppd,0.81
2001,rnt,ppd,1.135
2008,pla,ppd,3.347
2009,pla,ppd,2.694
2005,pla,ppd,2.438
2006,pla,ppd,2.516
2012,pla,ppd,4.07
2014,pla,ppd,3.7960000000000003
2013,pla,ppd,3.8360000000000003
1999,pla,ppd,1.951
2002,pla,ppd,2.254
2017,pla,ppd,3.477
2016,pla,ppd,3.84
2015,pla,ppd,3.847
1998,pla,ppd,2.019
2004,pla,ppd,2.192
2000,pla,ppd,1.945
1997,pla,ppd,1.958
2007,pla,ppd,3.08
2010,pla,ppd,3.116
2003,pla,ppd,2.181
2011,pla,ppd,3.4210000000000003
2001,pla,ppd,1.943
2008,fof,ppd,4.174
2009,fof,ppd,4.0760000000000005
2005,fof,ppd,4.7940000000000005
2006,fof,ppd,4.687
2012,fof,ppd,5.047
2014,fof,ppd,5.987
2013,fof,ppd,5.1290000000000004
1999,fof,ppd,4.3500000000000005
2002,fof,ppd,4.157
2017,fof,ppd,7.0680000000000005
2016,fof,ppd,6.031
2015,fof,ppd,6.01
1998,fof,ppd,3.988
2004,fof,ppd,4.585
2000,fof,ppd,4.074
1997,fof,ppd,3.952
2007,fof,ppd,4.358
2010,fof,ppd,5.484
2003,fof,ppd,4.009
2011,fof,ppd,6.529
2001,fof,ppd,4.091
2008,fin,ppd,0.0
2009,fin,ppd,0.0
2005,fin,ppd,0.0
2006,fin,ppd,0.0
2012,fin,ppd,0.0
2014,fin,ppd,0.0
2013,fin,ppd,0.0
1999,fin,ppd,0.0
2002,fin,ppd,0.0
2017,fin,ppd,0.0
2016,fin,ppd,0.0
2015,fin,ppd,0.0
1998,fin,ppd,0.0
2004,fin,ppd,0.0
2000,fin,ppd,0.0
1997,fin,ppd,0.0
2007,fin,ppd,0.0
2010,fin,ppd,0.0
2003,fin,ppd,0.0
2011,fin,ppd,0.0
2001,fin,ppd,0.0
2008,tsv,ppd,2.165
2009,tsv,ppd,1.723
2005,tsv,ppd,2.216
2006,tsv,ppd,2.38
2012,tsv,ppd,2.048
2014,tsv,ppd,2.098
2013,tsv,ppd,2.0460000000000003
1999,tsv,ppd,2.0460000000000003
2002,tsv,ppd,2.39
2017,tsv,ppd,3.569
2016,tsv,ppd,2.004
2015,tsv,ppd,1.9040000000000001
1998,tsv,ppd,2.093
2004,tsv,ppd,1.955
2000,tsv,ppd,2.197
1997,tsv,ppd,1.817
2007,tsv,ppd,2.474
2010,tsv,ppd,2.021
2003,tsv,ppd,2.273
2011,tsv,ppd,1.794
2001,tsv,ppd,2.3000000000000003
2008,nrs,ppd,0.0
2009,nrs,ppd,0.0
2005,nrs,ppd,0.0
2006,nrs,ppd,0.0
2012,nrs,ppd,0.0
2014,nrs,ppd,0.0
2013,nrs,ppd,0.0
1999,nrs,ppd,0.0
2002,nrs,ppd,0.0
2017,nrs,ppd,0.0
2016,nrs,ppd,0.0
2015,nrs,ppd,0.0
1998,nrs,ppd,0.0
2004,nrs,ppd,0.0
2000,nrs,ppd,0.0
1997,nrs,ppd,0.0
2007,nrs,ppd,0.0
2010,nrs,ppd,0.0
2003,nrs,ppd,0.0
2011,nrs,ppd,0.0
2001,nrs,ppd,0.0
2008,sec,ppd,0.026000000000000002
2009,sec,ppd,0.04
2005,sec,ppd,0.069
2006,sec,ppd,0.07200000000000001
2012,sec,ppd,0.048
2014,sec,ppd,0.037
2013,sec,ppd,0.037
1999,sec,ppd,0.081
2002,sec,ppd,0.094
2017,sec,ppd,0.034
2016,sec,ppd,0.037
2015,sec,ppd,0.03
1998,sec,ppd,0.08
2004,sec,ppd,0.055
2000,sec,ppd,0.10200000000000001
1997,sec,ppd,0.063
2007,sec,ppd,0.051000000000000004
2010,sec,ppd,0.032
2003,sec,ppd,0.077
2011,sec,ppd,0.024
2001,sec,ppd,0.093
2008,art,ppd,0.04
2009,art,ppd,0.035
2005,art,ppd,0.042
2006,art,ppd,0.045
2012,art,ppd,0.042
2014,art,ppd,0.04
2013,art,ppd,0.042
1999,art,ppd,0.04
2002,art,ppd,0.048
2017,art,ppd,0.039
2016,art,ppd,0.037
2015,art,ppd,0.036000000000000004
1998,art,ppd,0.044
2004,art,ppd,0.04
2000,art,ppd,0.043000000000000003
1997,art,ppd,0.041
2007,art,ppd,0.046
2010,art,ppd,0.033
2003,art,ppd,0.05
2011,art,ppd,0.025
2001,art,ppd,0.046
2008,mov,ppd,0.0
2009,mov,ppd,0.0
2005,mov,ppd,0.0
2006,mov,ppd,0.0
2012,mov,ppd,0.0
2014,mov,ppd,0.0
2013,mov,ppd,0.0
1999,mov,ppd,0.0
2002,mov,ppd,0.0
2017,mov,ppd,0.0
2016,mov,ppd,0.0
2015,mov,ppd,0.0
1998,mov,ppd,0.0
2004,mov,ppd,0.0
2000,mov,ppd,0.0
1997,mov,ppd,0.0
2007,mov,ppd,0.0
2010,mov,ppd,0.0
2003,mov,ppd,0.0
2011,mov,ppd,0.0
2001,mov,ppd,0.0
2008,fpd,ppd,0.0
2009,fpd,ppd,0.0
2005,fpd,ppd,0.0
2006,fpd,ppd,0.0
2012,fpd,ppd,0.0
2014,fpd,ppd,0.0
2013,fpd,ppd,0.0
1999,fpd,ppd,0.0
2002,fpd,ppd,0.0
2017,fpd,ppd,0.0
2016,fpd,ppd,0.0
2015,fpd,ppd,0.0
1998,fpd,ppd,0.0
2004,fpd,ppd,0.0
2000,fpd,ppd,0.002
1997,fpd,ppd,0.001
2007,fpd,ppd,0.0
2010,fpd,ppd,0.002
2003,fpd,ppd,0.0
2011,fpd,ppd,0.003
2001,fpd,ppd,0.0
2008,slg,ppd,0.0
2009,slg,ppd,0.0
2005,slg,ppd,0.0
2006,slg,ppd,0.0
2012,slg,ppd,0.0
2014,slg,ppd,0.0
2013,slg,ppd,0.0
1999,slg,ppd,0.0
2002,slg,ppd,0.0
2017,slg,ppd,0.0
2016,slg,ppd,0.0
2015,slg,ppd,0.0
1998,slg,ppd,0.0
2004,slg,ppd,0.0
2000,slg,ppd,0.0
1997,slg,ppd,0.0
2007,slg,ppd,0.0
2010,slg,ppd,0.0
2003,slg,ppd,0.0
2011,slg,ppd,0.0
2001,slg,ppd,0.0
2008,pri,ppd,0.0
2009,pri,ppd,0.0
2005,pri,ppd,0.0
2006,pri,ppd,0.0
2012,pri,ppd,0.0
2014,pri,ppd,0.0
2013,pri,ppd,0.0
1999,pri,ppd,0.0
2002,pri,ppd,0.0
2017,pri,ppd,0.0
2016,pri,ppd,0.0
2015,pri,ppd,0.0
1998,pri,ppd,0.0
2004,pri,ppd,0.0
2000,pri,ppd,0.0
1997,pri,ppd,0.0
2007,pri,ppd,0.0
2010,pri,ppd,0.0
2003,pri,ppd,0.0
2011,pri,ppd,0.0
2001,pri,ppd,0.0
2008,grd,ppd,0.058
2009,grd,ppd,0.052000000000000005
2005,grd,ppd,0.062
2006,grd,ppd,0.073
2012,grd,ppd,0.066
2014,grd,ppd,0.075
2013,grd,ppd,0.067
1999,grd,ppd,0.063
2002,grd,ppd,0.054
2017,grd,ppd,0.066
2016,grd,ppd,0.075
2015,grd,ppd,0.065
1998,grd,ppd,0.076
2004,grd,ppd,0.051000000000000004
2000,grd,ppd,0.062
1997,grd,ppd,0.069
2007,grd,ppd,0.073
2010,grd,ppd,0.051000000000000004
2003,grd,ppd,0.051000000000000004
2011,grd,ppd,0.042
2001,grd,ppd,0.059000000000000004
2008,pip,ppd,0.0
2009,pip,ppd,0.0
2005,pip,ppd,0.0
2006,pip,ppd,0.0
2012,pip,ppd,0.0
2014,pip,ppd,0.0
2013,pip,ppd,0.0
1999,pip,ppd,0.0
2002,pip,ppd,0.0
2017,pip,ppd,0.0
2016,pip,ppd,0.0
2015,pip,ppd,0.0
1998,pip,ppd,0.0
2004,pip,ppd,0.0
2000,pip,ppd,0.0
1997,pip,ppd,0.0
2007,pip,ppd,0.0
2010,pip,ppd,0.0
2003,pip,ppd,0.0
2011,pip,ppd,0.0
2001,pip,ppd,0.0
2008,sle,ppd,0.13
2009,sle,ppd,0.123
2005,sle,ppd,0.105
2006,sle,ppd,0.10300000000000001
2012,sle,ppd,0.162
2014,sle,ppd,0.158
2013,sle,ppd,0.155
1999,sle,ppd,0.065
2002,sle,ppd,0.092
2017,sle,ppd,0.162
2016,sle,ppd,0.14100000000000001
2015,sle,ppd,0.134
1998,sle,ppd,0.092
2004,sle,ppd,0.091
2000,sle,ppd,0.063
1997,sle,ppd,0.078
2007,sle,ppd,0.147
2010,sle,ppd,0.132
2003,sle,ppd,0.091
2011,sle,ppd,0.15
2001,sle,ppd,0.056
2008,osv,ppd,0.977
2009,osv,ppd,0.932
2005,osv,ppd,1.099
2006,osv,ppd,1.0030000000000001
2012,osv,ppd,1.122
2014,osv,ppd,1.309
2013,osv,ppd,1.272
1999,osv,ppd,1.701
2002,osv,ppd,2.051
2017,osv,ppd,1.6260000000000001
2016,osv,ppd,1.336
2015,osv,ppd,1.318
1998,osv,ppd,2.282
2004,osv,ppd,1.203
2000,osv,ppd,1.665
1997,osv,ppd,2.097
